id,corpus,n_free_date_vars,n_free_int_vars,n_free_bool_vars,pinned_var_frac,pinned_date_frac,pinned_int_frac,pinned_bool_frac,n_date_subexprs,n_atoms,n_date_comparisons,n_int_comparisons,ordering_cmp_frac,n_case_splits,max_disjunction_width,bool_alternation_depth,implication_atom_frac,neg_ordering_frac,n_unit_constraints,n_date_period_ops,ground_arith_frac,max_abs_years,max_abs_months,max_abs_days,mixed_frac,max_date_chain_len,n_dot_year,n_dot_month,n_dot_day,property_access_frac,n_symbolic_date_ctors,uses_feb29,uses_leap_year,n_components,largest_component_frac,graph_density,mixed_sort_coupling,label_status,label_execution_time
llm-property_access-48,llm,0,0,0,1.0,1.0,0.0,0.0,8,10,4,6,0.0,0,1,0,0.0,0.0,10,3,0.0,1,6,0,0.0,1,5,5,0,0.7142857142857143,0,0,0,1,1.0,0.6666666666666666,0,,
llm-property_access-49,llm,0,0,0,1.0,1.0,0.0,0.0,4,6,2,4,0.0,0,1,0,0.0,0.0,6,1,0.0,0,0,1,0.0,1,1,2,1,0.6666666666666666,0,0,0,1,1.0,1.0,0,,
llm-property_access-50,llm,0,0,0,1.0,1.0,0.0,0.0,6,8,3,5,0.0,0,1,0,0.0,0.0,8,2,0.0,5,1,0,0.0,1,2,3,1,0.6666666666666666,0,0,0,1,1.0,0.6666666666666666,0,,
llm-property_access-51,llm,0,0,0,1.0,1.0,0.0,0.0,2,5,1,4,0.4,0,1,0,0.0,0.0,5,0,0.0,0,0,0,0.0,0,1,1,2,0.8,0,1,1,1,1.0,0.0,0,,
llm-property_access-52,llm,0,0,0,1.0,1.0,0.0,0.0,4,7,2,5,0.14285714285714285,0,1,0,0.0,0.0,7,1,0.0,0,1,0,0.0,1,1,1,4,0.75,0,0,1,1,1.0,1.0,0,,
llm-property_access-53,llm,0,0,0,1.0,1.0,0.0,0.0,6,10,3,7,0.0,0,1,0,0.0,0.0,10,2,0.0,4,0,0,0.0,1,3,3,2,0.7272727272727273,0,1,1,1,1.0,0.6666666666666666,0,,
llm-property_access-54,llm,0,0,0,1.0,1.0,0.0,0.0,4,6,2,4,0.16666666666666666,0,1,0,0.0,0.0,6,1,0.0,50,0,0,0.0,1,3,1,1,0.7142857142857143,0,0,0,1,1.0,1.0,0,,
llm-property_access-55,llm,0,0,0,1.0,1.0,0.0,0.0,4,8,2,6,0.125,0,1,0,0.0,0.0,8,1,0.0,0,0,1,0.0,1,2,2,2,0.75,0,0,0,1,1.0,1.0,0,,
llm-property_access-56,llm,0,0,0,1.0,1.0,0.0,0.0,4,5,2,3,0.0,0,1,0,0.0,0.0,5,1,0.0,1,0,0,0.0,1,2,2,1,0.7142857142857143,0,1,1,1,1.0,1.0,0,,
llm-property_access-57,llm,0,0,0,1.0,1.0,0.0,0.0,6,7,3,4,0.0,0,1,0,0.0,0.0,7,2,0.0,0,2,0,0.0,1,0,2,2,0.5714285714285714,0,0,1,1,1.0,0.6666666666666666,0,,
llm-property_access-58,llm,0,0,0,1.0,1.0,0.0,0.0,8,10,4,6,0.0,0,1,0,0.0,0.0,10,2,0.0,1,1,0,0.0,1,1,2,3,0.6,0,1,1,2,0.75,0.3333333333333333,0,,
llm-property_access-59,llm,3,0,0,0.0,0.0,0.0,0.0,7,7,4,3,0.5714285714285714,0,1,1,0.0,0.0,7,2,0.0,50,0,0,0.0,1,4,0,0,0.5,0,0,1,1,1.0,0.6666666666666666,0,,
llm-property_access-60,llm,0,0,0,1.0,1.0,0.0,0.0,8,8,4,4,0.0,0,1,0,0.0,0.0,8,3,0.0,0,1,3,0.0,1,0,2,2,0.5,0,0,0,1,1.0,0.5,0,,
llm-symbolic_date_vars-61,llm,0,0,0,1.0,1.0,0.0,0.0,5,3,3,0,0.0,0,1,0,0.0,0.0,3,0,0.0,0,0,0,0.0,0,1,0,0,0.25,1,1,1,1,1.0,1.0,0,,
llm-symbolic_date_vars-62,llm,0,0,0,1.0,1.0,0.0,0.0,9,6,6,0,0.0,0,1,0,0.0,0.0,6,0,0.0,0,0,0,0.0,0,2,2,2,0.5,2,0,1,1,1.0,0.6666666666666666,0,,
llm-symbolic_date_vars-63,llm,0,0,0,1.0,1.0,0.0,0.0,10,10,6,3,0.1,0,1,0,0.0,0.0,10,0,0.0,0,0,0,0.0,0,4,4,1,0.6,3,1,1,1,1.0,0.5,0,,
llm-symbolic_date_vars-64,llm,0,0,0,1.0,1.0,0.0,0.0,4,3,2,1,0.0,0,1,0,0.0,0.0,3,0,0.0,0,0,0,0.0,0,1,0,2,0.6,1,0,1,1,1.0,1.0,0,,
llm-symbolic_date_vars-65,llm,0,0,0,1.0,1.0,0.0,0.0,11,8,7,1,0.0,0,1,0,0.0,0.0,8,1,0.0,50,0,0,0.0,1,2,2,3,0.5,2,0,1,1,1.0,0.5,0,,
llm-symbolic_date_vars-66,llm,1,0,0,0.6666666666666666,0.6666666666666666,0.0,0.0,6,5,4,1,0.2,0,1,0,0.0,0.0,5,0,0.0,0,0,0,0.0,0,2,1,1,0.5,2,1,1,1,1.0,0.6666666666666666,0,,
llm-symbolic_date_vars-67,llm,0,0,0,1.0,1.0,0.0,0.0,7,7,4,3,0.0,0,1,0,0.0,0.0,7,1,0.0,1,0,0,0.0,1,4,3,1,0.6666666666666666,2,0,1,1,1.0,0.6666666666666666,0,,
llm-symbolic_date_vars-68,llm,0,0,0,1.0,1.0,0.0,0.0,8,10,4,6,0.0,0,1,0,0.0,0.0,10,0,0.0,0,0,0,0.0,0,6,5,4,0.7894736842105263,3,0,0,1,1.0,0.5,0,,
llm-symbolic_date_vars-69,llm,0,0,0,1.0,1.0,0.0,0.0,6,6,3,3,0.0,0,1,0,0.0,0.0,6,0,0.0,0,0,0,0.0,0,4,1,2,0.7,2,0,0,1,1.0,0.6666666666666666,0,,
llm-symbolic_date_vars-70,llm,0,0,0,1.0,1.0,0.0,0.0,8,8,4,4,0.0,0,1,0,0.0,0.0,8,0,0.0,0,0,0,0.0,0,6,4,3,0.7647058823529411,3,0,0,1,1.0,0.5,0,,
llm-symbolic_date_vars-71,llm,0,0,0,1.0,1.0,0.0,0.0,7,5,4,1,0.0,0,1,0,0.0,0.0,5,0,0.0,0,0,0,0.0,0,3,1,1,0.5555555555555556,2,1,1,1,1.0,0.6666666666666666,0,,
llm-symbolic_date_vars-72,llm,0,0,0,1.0,1.0,0.0,0.0,9,7,5,2,0.14285714285714285,0,1,0,0.0,0.0,7,0,0.0,0,0,0,0.0,0,5,3,1,0.6428571428571429,3,0,0,1,1.0,0.5,0,,
llm-symbolic_date_vars-73,llm,1,0,0,0.8,0.8,0.0,0.0,11,13,5,8,0.15384615384615385,0,1,0,0.0,0.0,13,1,0.0,100,0,0,0.0,1,10,5,4,0.7916666666666666,2,1,1,1,1.0,0.5,0,,
llm-symbolic_date_vars-74,llm,0,0,0,1.0,1.0,0.0,0.0,7,6,4,2,0.0,0,1,0,0.0,0.0,6,0,0.0,0,0,0,0.0,0,2,1,4,0.6363636363636364,2,1,1,1,1.0,0.6666666666666666,0,,
llm-symbolic_date_vars-75,llm,0,0,0,1.0,1.0,0.0,0.0,10,8,6,2,0.0,0,1,0,0.0,0.0,8,0,0.0,0,0,0,0.0,0,6,2,1,0.6,3,0,1,1,1.0,0.6666666666666666,0,,
llm-symbolic_date_vars-76,llm,0,0,0,1.0,1.0,0.0,0.0,6,5,3,2,0.0,0,1,0,0.0,0.0,5,0,0.0,0,0,0,0.0,0,4,2,2,0.7272727272727273,2,1,1,1,1.0,1.0,0,,
llm-symbolic_date_vars-77,llm,0,0,0,1.0,1.0,0.0,0.0,6,7,3,4,0.0,0,1,0,0.0,0.0,7,0,0.0,0,0,0,0.0,0,3,4,3,0.7692307692307693,2,0,1,1,1.0,0.6666666666666666,0,,
llm-symbolic_date_vars-78,llm,0,0,0,1.0,1.0,0.0,0.0,8,10,4,6,0.0,0,1,0,0.0,0.0,10,0,0.0,0,0,0,0.0,0,6,5,4,0.7894736842105263,3,0,0,1,1.0,0.6666666666666666,0,,
llm-symbolic_date_vars-79,llm,0,0,0,1.0,1.0,0.0,0.0,6,6,3,3,0.0,0,1,0,0.0,0.0,6,0,0.0,0,0,0,0.0,0,3,2,4,0.75,2,1,1,1,1.0,0.6666666666666666,0,,
llm-symbolic_date_vars-80,llm,0,0,0,1.0,1.0,0.0,0.0,8,8,4,4,0.0,0,1,0,0.0,0.0,8,0,0.0,0,0,0,0.0,0,5,5,3,0.7647058823529411,3,0,0,1,1.0,0.5,0,,
llm-year_vs_days-81,llm,0,0,0,1.0,1.0,0.0,0.0,6,5,5,0,0.2,0,1,0,0.0,0.0,5,2,0.0,1,0,365,0.0,1,0,0,0,0.0,0,1,1,1,1.0,1.0,0,,
llm-year_vs_days-82,llm,0,0,0,1.0,1.0,0.0,0.0,9,7,7,0,0.14285714285714285,0,1,0,0.0,0.0,7,3,0.0,1,0,366,0.0,1,0,0,0,0.0,0,0,0,1,1.0,0.8333333333333334,0,,
llm-year_vs_days-83,llm,0,0,0,1.0,1.0,0.0,0.0,10,10,8,2,0.0,0,1,0,0.0,0.0,10,3,0.0,1,0,366,0.0,1,1,0,1,0.2,0,1,1,1,1.0,0.8333333333333334,0,,
llm-year_vs_days-84,llm,0,0,0,1.0,1.0,0.0,0.0,8,6,6,0,0.16666666666666666,0,1,0,0.0,0.0,6,2,0.0,2,0,730,0.0,1,0,0,0,0.0,0,0,1,1,1.0,1.0,0,,
llm-year_vs_days-85,llm,0,0,0,1.0,1.0,0.0,0.0,12,8,8,0,0.125,0,1,0,0.0,0.0,8,3,0.0,1,0,366,0.0,1,0,0,0,0.0,0,1,1,2,0.6,0.4,0,,
llm-year_vs_days-86,llm,0,0,0,1.0,1.0,0.0,0.0,6,5,5,0,0.2,0,1,0,0.0,0.0,5,2,0.0,1,0,365,0.0,1,0,0,0,0.0,0,0,1,1,1.0,1.0,0,,
llm-year_vs_days-87,llm,0,0,0,1.0,1.0,0.0,0.0,7,7,6,1,0.14285714285714285,0,1,0,0.0,0.0,7,2,0.0,1,0,366,0.0,1,1,0,0,0.14285714285714285,0,1,1,1,1.0,1.0,0,,
llm-year_vs_days-88,llm,0,0,0,1.0,1.0,0.0,0.0,9,9,6,3,0.0,0,1,0,0.0,0.0,9,4,0.0,2,0,730,0.0,1,3,0,0,0.3333333333333333,0,0,0,1,1.0,0.6666666666666666,0,,
llm-year_vs_days-89,llm,0,0,0,1.0,1.0,0.0,0.0,7,6,5,1,0.16666666666666666,0,1,0,0.0,0.0,6,2,0.0,1,0,365,0.0,1,1,0,0,0.16666666666666666,0,0,1,1,1.0,1.0,0,,
llm-year_vs_days-90,llm,0,0,0,1.0,1.0,0.0,0.0,10,10,7,3,0.0,0,1,0,0.0,0.0,10,4,0.0,4,0,1461,0.0,1,3,0,0,0.3,0,0,1,1,1.0,0.6,0,,
llm-year_vs_days-91,llm,0,0,0,1.0,1.0,0.0,0.0,6,5,5,0,0.2,0,1,0,0.0,0.0,5,2,0.0,1,0,365,0.0,1,0,0,0,0.0,0,1,1,1,1.0,1.0,0,,
llm-year_vs_days-92,llm,0,0,0,1.0,1.0,0.0,0.0,10,7,6,1,0.14285714285714285,0,1,0,0.0,0.0,7,5,0.0,2,0,730,0.0,1,1,0,0,0.14285714285714285,0,0,0,1,1.0,0.6666666666666666,0,,
llm-year_vs_days-93,llm,0,0,0,1.0,1.0,0.0,0.0,10,8,7,1,0.125,0,1,0,0.0,0.0,8,5,0.0,4,0,1461,0.0,1,1,0,0,0.125,0,0,1,1,1.0,0.8333333333333334,0,,
llm-year_vs_days-94,llm,3,0,0,0.0,0.0,0.0,0.0,9,6,6,0,0.3333333333333333,0,1,0,0.0,0.0,6,4,0.0,3,0,1095,0.0,1,0,0,0,0.0,0,0,0,1,1.0,1.0,0,,
llm-year_vs_days-95,llm,0,0,0,1.0,1.0,0.0,0.0,12,10,8,2,0.2,0,1,0,0.0,0.0,10,6,0.0,4,0,1461,0.0,1,1,0,1,0.2,0,1,1,1,1.0,0.6,0,,
llm-year_vs_days-96,llm,0,0,0,1.0,1.0,0.0,0.0,6,5,5,0,0.2,0,1,0,0.0,0.0,5,2,0.0,1,0,365,0.0,1,0,0,0,0.0,0,1,1,1,1.0,1.0,0,,
llm-year_vs_days-97,llm,0,0,0,1.0,1.0,0.0,0.0,8,7,7,0,0.14285714285714285,0,1,0,0.0,0.0,7,3,0.0,1,0,366,0.0,1,0,0,0,0.0,0,0,0,1,1.0,0.8333333333333334,0,,
llm-year_vs_days-98,llm,0,0,0,1.0,1.0,0.0,0.0,10,10,8,2,0.1,0,1,0,0.0,0.0,10,3,0.0,1,0,366,0.0,1,2,0,0,0.2,0,0,1,1,1.0,0.6,0,,
llm-year_vs_days-99,llm,0,0,0,1.0,1.0,0.0,0.0,6,6,4,2,0.0,0,1,0,0.0,0.0,6,2,0.0,1,0,365,0.0,1,2,0,0,0.3333333333333333,0,1,1,1,1.0,1.0,0,,
llm-year_vs_days-100,llm,0,0,0,1.0,1.0,0.0,0.0,10,8,7,1,0.0,0,1,0,0.0,0.0,8,4,0.0,4,0,1460,0.0,1,1,0,0,0.125,0,0,1,1,1.0,0.6,0,,
grammar-sat-1,grammar,7,0,0,0.0,0.0,0.0,0.0,15,8,8,0,0.5,3,3,1,0.0,0.0,3,4,0.2,43,42,35,1.0,3,0,0,0,0.0,0,0,0,3,0.5714285714285714,0.19047619047619047,0,sat,52.78420805931091
grammar-sat-2,grammar,9,0,0,0.0,0.0,0.0,0.0,20,16,16,0,0.8125,7,4,1,0.0,0.0,4,4,0.3333333333333333,20,40,20,1.0,2,0,0,0,0.0,0,0,1,1,1.0,0.25,0,sat,52.21368908882141
grammar-sat-3,grammar,9,0,0,0.0,0.0,0.0,0.0,18,11,11,0,0.6363636363636364,6,4,1,0.0,0.0,2,3,0.4,72,36,144,1.0,2,0,0,0,0.0,0,0,0,2,0.5555555555555556,0.19444444444444445,0,sat,45.08499503135681
grammar-sat-4,grammar,7,0,0,0.0,0.0,0.0,0.0,21,9,9,0,0.5555555555555556,3,3,1,0.0,0.0,4,9,0.18181818181818182,54,108,21,0.8888888888888888,3,0,0,0,0.0,0,0,0,2,0.7142857142857143,0.23809523809523808,0,sat,43.64854598045349
grammar-sat-5,grammar,9,0,0,0.0,0.0,0.0,0.0,29,14,14,0,0.7857142857142857,7,4,1,0.0,0.0,3,8,0.38461538461538464,9,18,9,0.5,2,0,0,0,0.0,0,0,1,3,0.7777777777777778,0.19444444444444445,0,sat,42.68230891227722
grammar-sat-6,grammar,6,0,0,0.0,0.0,0.0,0.0,18,8,8,0,0.625,3,3,1,0.0,0.0,3,5,0.375,10,17,19,1.0,3,0,0,0,0.0,0,0,1,3,0.6666666666666666,0.26666666666666666,0,sat,40.64779305458069
grammar-sat-7,grammar,9,0,0,0.0,0.0,0.0,0.0,18,13,13,0,0.7692307692307693,8,3,1,0.0,0.0,0,6,0.14285714285714285,9,7,9,0.8333333333333334,2,0,0,0,0.0,0,0,1,2,0.8888888888888888,0.2777777777777778,0,sat,40.24087405204773
grammar-sat-8,grammar,9,0,0,0.0,0.0,0.0,0.0,23,12,12,0,0.9166666666666666,5,3,1,0.0,0.0,4,3,0.5714285714285714,20,24,24,1.0,1,0,0,0,0.0,0,0,0,4,0.3333333333333333,0.1388888888888889,0,sat,38.41848015785217
grammar-sat-9,grammar,8,0,0,0.0,0.0,0.0,0.0,23,10,10,0,0.6,5,5,1,0.0,0.0,3,8,0.2,36,81,54,0.875,3,0,0,0,0.0,0,0,1,3,0.75,0.17857142857142858,0,sat,36.22600507736206
grammar-sat-10,grammar,7,0,0,0.0,0.0,0.0,0.0,17,9,9,0,0.8888888888888888,4,4,1,0.0,0.0,3,7,0.125,30,30,24,0.7142857142857143,3,0,0,0,0.0,0,0,0,3,0.7142857142857143,0.19047619047619047,0,sat,35.97390294075012
